FID,Fuel_Type,Latitude,Longitude
1,LPG,33.921786,-118.20903
2,LPG,33.831028,-118.309565
3,LPG,33.931611,-117.994289
4,LPG,33.925503,-117.938797
5,LPG,34.185901,-118.159583
6,LPG,34.129404,-118.255457
7,CNG,33.818828,-118.169027
8,LPG,34.145073,-118.750529
9,CNG,34.057417,-118.219048
10,LPG,34.22489,-118.467022
11,CNG,34.031049,-118.466894
12,LPG,34.211301,-118.348981
13,CNG,34.029682,-118.012017
14,LPG,34.068602,-117.964302
15,CNG,33.968028,-118.106606
16,LPG,34.106323,-117.950525
17,CNG,33.758219,-118.294021
18,CNG,34.25599,-118.390965
19,LPG,34.098237,-117.907075
20,LPG,34.06241,-118.041125
21,CNG,34.20908,-118.496443
22,LPG,34.007826,-117.911096
23,LPG,34.083993,-118.073688
24,CNG,34.091246,-117.881311
25,LPG,33.773152,-118.002004
26,LPG,33.828164,-117.911136
27,CNG,34.237327,-118.598388
28,LPG,34.171791,-119.177073
29,CNG,33.779094,-118.008087
30,LPG,34.207512,-119.144547
31,LPG,34.252121,-119.163497
32,CNG,33.764687,-117.924518
33,LPG,34.439903,-119.770197
34,CNG,34.191614,-119.16116
35,LPG,34.649168,-118.129516
36,CNG,35.254197,-120.670939
37,LPG,21.335561,-157.896957
38,LPG,34.918353,-120.450172
39,CNG,34.64942,-118.143
40,BD,20.892589,-156.461377
41,CNG,33.858557,-118.280455
42,CNG,34.038268,-118.238973
43,CNG,33.941658,-118.378014
44,CNG,34.063277,-118.221232
45,CNG,33.867036,-118.285708
46,CNG,33.932488,-118.119113
47,CNG,34.206319,-118.935757
48,ELEC,34.170993,-118.589741
49,CNG,33.80086,-117.89
50,ELEC,34.07631,-118.377
51,CNG,33.899707,-118.207281
52,CNG,33.838147,-118.314895
53,ELEC,34.070047,-118.376759
54,ELEC,34.073942,-118.383766
55,CNG,33.823941,-117.904768
56,ELEC,34.057797,-118.247738
57,ELEC,34.174104,-118.498753
58,CNG,34.084622,-118.108804
59,ELEC,34.097928,-118.331
60,CNG,34.200767,-119.173954
61,ELEC,34.249104,-118.387561
62,ELEC,34.098146,-118.2954
63,ELEC,34.24876,-118.524
64,ELEC,34.050448,-118.446678
65,ELEC,34.23933,-118.533
66,ELEC,34.05321,-118.081763
67,ELEC,34.040199,-118.269554
68,ELEC,34.24601,-118.524
69,ELEC,34.229792,-118.544844
